order_item_id,order_id,product_id,quantity,unit_price,subtotal
74,24,5,5,65.88,329.4
75,24,9,4,415.34,1661.36
76,25,8,2,30.98,61.96
77,25,18,4,234.26,937.04
78,25,16,2,348.39,696.78
79,26,11,4,70.8,283.2
80,26,3,2,468.17,936.34
81,26,17,3,145.21,435.63
82,26,8,3,30.98,92.94
83,27,6,3,7.73,23.19
84,27,15,1,21.92,21.92
85,28,17,5,145.21,726.05
86,28,2,2,31.05,62.1
87,28,5,2,65.88,131.76
88,28,5,4,65.88,263.52
89,29,12,2,21.98,43.96
90,29,11,1,70.8,70.8
91,29,18,4,234.26,937.04
92,29,11,4,70.8,283.2
93,29,8,5,30.98,154.9
94,30,10,5,268.27,1341.35
95,31,11,1,70.8,70.8
96,31,18,1,234.26,234.26
97,31,9,2,415.34,830.68
98,31,10,2,268.27,536.54
99,31,9,2,415.34,830.68
100,32,14,1,52.01,52.01
101,32,8,5,30.98,154.9
102,32,16,5,348.39,1741.95
103,33,1,3,160.82,482.46
104,33,3,3,468.17,1404.51
105,34,12,2,21.98,43.96
106,34,13,5,247.35,1236.75
107,35,4,2,353.73,707.46
108,35,19,4,82.59,330.36
109,35,6,3,7.73,23.19
110,35,2,3,31.05,93.15
111,36,13,1,247.35,247.35
112,36,20,1,254.5,254.5
113,36,18,5,234.26,1171.3
114,37,3,5,468.17,2340.85
115,37,4,3,353.73,1061.19
116,37,18,2,234.26,468.52
117,37,13,5,247.35,1236.75
118,38,15,4,21.92,87.68
119,38,8,3,30.98,92.94
120,39,15,4,21.92,87.68
121,39,3,4,468.17,1872.68
122,39,2,5,31.05,155.25
123,39,1,3,160.82,482.46
124,39,8,2,30.98,61.96
125,40,1,3,160.82,482.46
126,40,18,1,234.26,234.26
127,40,6,3,7.73,23.19
128,40,1,2,160.82,321.64
129,41,9,1,415.34,415.34
130,41,1,4,160.82,643.28
131,41,17,4,145.21,580.84
132,42,15,4,21.92,87.68
133,42,10,5,268.27,1341.35
134,43,16,2,348.39,696.78
135,43,17,1,145.21,145.21
136,44,5,4,65.88,263.52
137,44,19,4,82.59,330.36
138,44,17,1,145.21,145.21
139,44,8,3,30.98,92.94
140,45,2,5,31.05,155.25
141,45,19,1,82.59,82.59
142,45,20,4,254.5,1018
143,45,12,3,21.98,65.94
144,46,6,1,7.73,7.73
145,46,19,3,82.59,247.77
146,46,10,3,268.27,804.81
147,47,6,5,7.73,38.65
148,47,17,5,145.21,726.05
149,47,8,1,30.98,30.98
150,47,16,5,348.39,1741.95
151,48,7,2,193.31,386.62
152,48,2,3,31.05,93.15
153,48,19,2,82.59,165.18
154,49,14,4,52.01,208.04
155,49,11,3,70.8,212.4
156,49,19,1,82.59,82.59
157,49,7,1,193.31,193.31
158,49,20,5,254.5,1272.5
159,50,11,5,70.8,354
160,51,20,5,254.5,1272.5
161,51,9,3,415.34,1246.02
162,51,6,4,7.73,30.92
163,51,2,1,31.05,31.05
164,52,19,5,82.59,412.95
165,52,4,2,353.73,707.46
166,52,10,1,268.27,268.27
167,53,8,4,30.98,123.92
168,53,7,3,193.31,579.93
169,53,3,1,468.17,468.17
170,53,13,1,247.35,247.35
171,54,16,3,348.39,1045.17
172,54,8,2,30.98,61.96
173,54,18,2,234.26,468.52
174,54,19,5,82.59,412.95
175,55,17,5,145.21,726.05
176,55,17,4,145.21,580.84
177,55,8,3,30.98,92.94
178,55,18,2,234.26,468.52
179,55,16,3,348.39,1045.17
180,56,9,4,415.34,1661.36
181,56,12,1,21.98,21.98
182,56,12,4,21.98,87.92
183,56,6,1,7.73,7.73
184,57,4,4,353.73,1414.92
185,57,4,2,353.73,707.46
186,57,20,3,254.5,763.5
187,57,5,4,65.88,263.52
188,57,11,5,70.8,354
189,58,14,5,52.01,260.05
190,58,1,3,160.82,482.46
191,58,20,5,254.5,1272.5
192,58,5,2,65.88,131.76
193,59,2,4,31.05,124.2
194,59,7,3,193.31,579.93
195,60,7,5,193.31,966.55
196,60,14,1,52.01,52.01
197,61,20,4,254.5,1018
198,61,10,4,268.27,1073.08
199,61,2,3,31.05,93.15
200,61,13,3,247.35,742.05
201,61,19,4,82.59,330.36
202,62,8,4,30.98,123.92
203,62,19,5,82.59,412.95
204,63,9,2,415.34,830.68
205,63,1,4,160.82,643.28
206,63,7,1,193.31,193.31
207,63,9,4,415.34,1661.36
208,63,3,4,468.17,1872.68
209,64,3,1,468.17,468.17
210,64,18,1,234.26,234.26
211,65,8,3,30.98,92.94
212,65,5,5,65.88,329.4
213,65,7,5,193.31,966.55
214,65,14,2,52.01,104.02
215,65,16,4,348.39,1393.56
216,66,1,2,160.82,321.64
217,66,6,4,7.73,30.92
218,67,15,1,21.92,21.92
219,68,5,2,65.88,131.76
220,68,17,4,145.21,580.84
221,68,9,2,415.34,830.68
222,68,16,1,348.39,348.39
223,69,4,5,353.73,1768.65
224,69,1,4,160.82,643.28
225,69,20,3,254.5,763.5
226,70,6,1,7.73,7.73
227,71,8,1,30.98,30.98
228,71,1,1,160.82,160.82
229,71,4,2,353.73,707.46
230,72,11,2,70.8,141.6
231,72,5,2,65.88,131.76
232,72,1,2,160.82,321.64
233,73,18,3,234.26,702.78
234,73,15,2,21.92,43.84
235,73,19,3,82.59,247.77
236,74,11,4,70.8,283.2
237,75,1,3,160.82,482.46
238,75,1,5,160.82,804.1
239,75,7,4,193.31,773.24
240,75,20,5,254.5,1272.5
241,76,7,3,193.31,579.93
242,76,1,5,160.82,804.1
243,76,14,5,52.01,260.05
244,76,19,2,82.59,165.18
245,77,18,4,234.26,937.04
246,78,8,3,30.98,92.94
247,78,16,5,348.39,1741.95
248,78,20,5,254.5,1272.5
249,78,5,5,65.88,329.4
250,79,13,5,247.35,1236.75
251,80,2,2,31.05,62.1
252,81,6,5,7.73,38.65
253,81,17,4,145.21,580.84
254,82,6,5,7.73,38.65
255,82,6,4,7.73,30.92
256,82,9,5,415.34,2076.7
257,82,13,5,247.35,1236.75
258,82,1,2,160.82,321.64
259,83,15,4,21.92,87.68
260,84,9,1,415.34,415.34
261,84,9,3,415.34,1246.02
262,84,18,3,234.26,702.78
263,85,20,1,254.5,254.5
264,85,4,1,353.73,353.73
265,85,4,4,353.73,1414.92
266,85,2,1,31.05,31.05
267,85,13,2,247.35,494.7
268,86,3,3,468.17,1404.51
269,86,14,5,52.01,260.05
270,86,15,2,21.92,43.84
271,86,12,1,21.98,21.98
272,87,20,4,254.5,1018
273,87,12,3,21.98,65.94
274,87,5,1,65.88,65.88
275,87,2,1,31.05,31.05
276,87,6,5,7.73,38.65
277,88,20,4,254.5,1018
278,88,17,4,145.21,580.84
279,89,7,4,193.31,773.24
280,89,7,2,193.31,386.62
281,89,17,4,145.21,580.84
282,89,1,5,160.82,804.1
283,90,3,5,468.17,2340.85
284,91,3,2,468.17,936.34
285,91,16,1,348.39,348.39
286,91,9,5,415.34,2076.7
287,92,17,2,145.21,290.42
288,92,7,4,193.31,773.24
289,92,1,5,160.82,804.1
290,92,10,2,268.27,536.54
291,93,4,3,353.73,1061.19
292,94,13,1,247.35,247.35
293,95,1,3,160.82,482.46
294,96,4,3,353.73,1061.19
295,96,8,2,30.98,61.96
296,96,17,4,145.21,580.84
297,96,16,3,348.39,1045.17
298,97,14,3,52.01,156.03
299,97,1,5,160.82,804.1
300,97,16,3,348.39,1045.17
301,98,11,1,70.8,70.8
302,98,4,2,353.73,707.46
303,99,13,4,247.35,989.4
304,99,5,5,65.88,329.4
305,99,14,5,52.01,260.05
306,99,2,5,31.05,155.25
307,100,13,4,247.35,989.4
308,100,13,3,247.35,742.05
309,100,2,1,31.05,31.05
310,100,18,3,234.26,702.78
311,100,20,2,254.5,509
